Split_id	Input_Company_name		CIN	MCA_Company_Name	Company_Address	MCA_Status	status
"sp2,negative"	EUROPEAN PROJECTS AND		U64200MH1996PLC103693	EUROPEAN PROJECTS & AVIATION LIMITED	"Gala No.B-15, 3rd Floor, Electronic Sadan - I MIDC, TTC Industrial Area, Mahape Navi Mumbai MH 400710 IN"	Active	
"sp2,negative"	EVANS FRASER AND CO INDIA LTD		U99999MH1947PLC005708	EVANS FRASER AND CO. (INDIA) LIMITED	"171-C, 17th Floor Mittal Court C Wing, Nariman Point Mumbai MH 400021 IN"	Active	
"sp2,negative"	KLT AUTO AND TUBULAR PRODUCT		U34300MH1994PLC081463	KLT AUTOMOTIVE AND TUBULAR PRODUCTS LIMITED	"B-601, Elegant Business Park, MIDC Road No. 2, Andheri (East) Mumbai Mumbai City MH 400059 IN"	Active	
"sp2,negative"	EVECTOR INDIA PRIVATE LTD		U20299MH2001PTC134091	VECTOR PROJECTS (INDIA) PRIVATE LIMITED	"4TH FLOOR, VECTOR HOUSE, L.B.S. MARG, NEAR ASIAN PAINTS LTD. BHANDUP (W). MUMBAI MH 400078 IN"	Active	
"sp2,negative"	KMS COACH BUILDERS PVT LTD		U34200KA2007PTC042580	KMS COACH BUILDERS PRIVATE LIMITED	"125/1B, NEAR BMTC DEPOT 12, INDUSTRIAL AREA KENGERI, MYSORE ROAD, BANGALORE Bangalore KA 560060 IN"	Active	
"sp2,negative"	KNOWN YOU SEED IND PVT LTD		U01122PN1999PTC015324	KNOWN-YOU SEED (INDIA) PRIVATE LIMITED	"S.No.87, Pimple Jagtap Road, Bhima Koregaon, Tal: Shirur, Pune Pune MH 412216 IN"	Active	
"sp2,negative"	EVOLGENCE ENERGY LIMITED		U40108TG2010PLC069180	EVOLGENCE ENERGY LIMITED	"H.No 12-10-336/2/2, Ramalayam Street, Sitaphalmandi, Secunderabad Hyderabad TG 500061 IN"	Strike Off	
"sp2,negative"	KODIWIN HYDRO POWER P LTD		U40300TN2011PTC079322	KODIWIN HYDRO POWER PRIVATE LIMITED	34 PILLAIYAR KOIL 3RD STREET EKKATTUTHANGAL CHENNAI Chennai TN 600097 IN	Strike Off	
"sp2,negative"	KOVAI BIOWASTE MGMT P LTD		U29299TZ2004PTC010952	KOVAI BIOWASTE MANAGEMENT PRIVATE LIMITED	"4TH FLOOR, RAMANIS FRASER SQUARE NEAR OLD FLYOVER, GOODS SHED ROAD COIMBATORE Coimbatore TN 641001 IN"	Active	
"sp2,negative"	FANCY STEELS P LTD		U52100TN2008PTC067664	FANCY STEELS PRIVATE LIMITED	"OLD NO.19&20/12, NEW NO.38/12, VENKATARAMAN STREET T. NAGAR CHENNAI Chennai TN 600017 IN"	Strike Off	
